review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000031,ORD-20251001-536879,CUST-10272,REST-AUH-001,Outstanding experience! The Jeera Rice  Fresh Lime Soda  and Naan exceeded all expectations. Fresh Lime Soda was the star of the meal. Will definitely order again!,5,2025-10-06T16:18:01.245498
REV-000033,ORD-20251002-818927,CUST-10283,REST-DXB-001,Perfect in every way! Palak Paneer were all excellent. Palak Paneer stood out with its rich  authentic taste.,5,2025-10-07T21:33:38.245498
REV-000032,ORD-20251001-151692,CUST-10290,REST-AUH-002,Best Indian food in UAE! Masala Chai  Rasmalai (2 pcs)  and Butter Chicken were incredible. Masala Chai had the perfect balance of spices. Five stars!,5,2025-10-08T16:36:40.245498
REV-000034,ORD-20251008-310523,CUST-10089,REST-SHJ-001,Worst food ever! Chicken Tikka Masala  Chole Bhature  and Butter Chicken were all wrong. Chicken Tikka Masala made me sick. Never ordering again!,1,2025-10-10T13:36:11.245498
REV-000035,ORD-20251012-633000,CUST-10311,REST-DXB-001,Good quality food. Fresh Lime Soda  Malai Kofta  and Chole Bhature were nicely done. Malai Kofta could have been slightly spicier but still good!,4,2025-10-16T17:45:00.245498
REV-000037,ORD-20251016-892701,CUST-10366,REST-AUH-001,Enjoyed the Naan and Chicken Tikka Masala! Naan was very good. Portion sizes were generous. Recommend!,4,2025-10-17T20:34:05.245498
REV-000036,ORD-20251015-994930,CUST-10439,REST-DXB-001,Outstanding experience! The Gajar Halwa  Kulfi  Gulab Jamun (2 pcs)  Butter Chicken  and Jeera Rice exceeded all expectations. Kulfi was the star of the meal. Will definitely order again!,5,2025-10-18T13:15:41.245498
REV-000038,ORD-20251018-161472,CUST-10134,REST-AUH-001,Wow! Just wow! Kulfi were all fantastic. Kulfi was particularly memorable. Can't wait to order again!,5,2025-10-19T17:03:18.245498
REV-000039,ORD-20251022-780872,CUST-10322,REST-DXB-002,Poor experience. Lamb Rogan Josh and Rasmalai (2 pcs) were disappointing. Rasmalai (2 pcs) was burnt on the edges. Very unhappy.,2,2025-10-27T21:14:20.245498
REV-000040,ORD-20251024-276740,CUST-10499,REST-DXB-001,Absolutely amazing Dal Makhani  Butter Chicken  Palak Paneer  and Masala Chai! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-30T19:04:50.245498
REV-000043,ORD-20251031-502215,CUST-10070,REST-SHJ-001,Hands down the best Chicken Tikka Masala I've ever had! Gajar Halwa  Chicken Tikka Masala  Sweet Lassi  Garlic Naan  and Fish Curry were all prepared beautifully. Fresh and flavorful!,5,2025-11-01T20:44:56.245498
REV-000042,ORD-20251030-471950,CUST-10072,REST-AUH-002,Best Indian food in UAE! Dal Makhani and Gajar Halwa were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2025-11-01T22:30:26.245498
REV-000041,ORD-20251030-746128,CUST-10313,REST-DXB-002,Hands down the best Naan I've ever had! Naan  Aloo Tikki Chaat  Butter Chicken  and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2025-11-04T21:37:07.245498
REV-000044,ORD-20251102-547321,CUST-10010,REST-SHJ-001,Solid experience. Gulab Jamun (2 pcs)  Samosa (2 pcs)  Paneer Tikka  Vegetable Biryani  and Fish Curry were well-prepared. Samosa (2 pcs) had great flavor. Minor issues with packaging.,4,2025-11-05T11:08:17.245498
REV-000045,ORD-20251106-132574,CUST-10422,REST-DXB-001,Great food overall. Butter Naan  Gajar Halwa  and Paneer Butter Masala were tasty  especially the Gajar Halwa. Would order again!,4,2025-11-13T13:43:25.245498
REV-000046,ORD-20251118-968433,CUST-10327,REST-AUH-001,Outstanding experience! The Kulfi and Chole Bhature exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2025-11-20T13:25:14.245498
REV-000049,ORD-20251127-660716,CUST-10462,REST-AUH-002,Mediocre. Paneer Butter Masala  Butter Naan  Masala Chai  and Chicken Biryani were fine but forgettable. Butter Naan didn't stand out.,3,2025-11-29T17:32:49.245498
REV-000050,ORD-20251130-667405,CUST-10314,REST-AUH-001,Incredible meal! Lamb Rogan Josh arrived hot and fresh. The Lamb Rogan Josh was absolutely divine. Highly satisfied!,5,2025-12-02T10:00:11.245498
REV-000047,ORD-20251127-187696,CUST-10132,REST-DXB-001,Solid experience. Butter Chicken  Rasmalai (2 pcs)  Jeera Rice  Chicken Tikka Masala  and Vegetable Biryani were well-prepared. Jeera Rice had great flavor. Minor issues with packaging.,4,2025-12-03T13:21:02.245498
REV-000048,ORD-20251127-507824,CUST-10307,REST-DXB-001,Incredible meal! Chicken Biryani  Chicken 65  Lamb Rogan Josh  Chicken Tikka Masala  and Kulfi arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!,5,2025-12-03T14:06:20.245498
REV-000051,ORD-20251202-363225,CUST-10257,REST-AUH-001,Below expectations. Butter Chicken  Aloo Tikki Chaat  and Chicken Seekh Kebab were underwhelming. Aloo Tikki Chaat was overcooked and dry.,2,2025-12-08T14:40:34.245498
REV-000052,ORD-20251202-901091,CUST-10397,REST-AUH-002,Absolutely horrible! Kulfi and Fresh Lime Soda arrived ice cold after 2 hour delay. Fresh Lime Soda was spoiled. Disgusting!,1,2025-12-08T17:00:06.245498
REV-000053,ORD-20251204-437379,CUST-10427,REST-AUH-002,Best Indian food in UAE! Chole Bhature  Rasmalai (2 pcs)  Tandoori Roti  and Gulab Jamun (2 pcs) were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2025-12-09T14:11:39.245498
REV-000054,ORD-20251209-810707,CUST-10325,REST-DXB-001,Perfect in every way! Lamb Rogan Josh  Chicken Tikka Masala  Gajar Halwa  Paneer Tikka  and Chole Bhature were all excellent. Lamb Rogan Josh stood out with its rich  authentic taste.,5,2025-12-12T11:40:26.245498
REV-000056,ORD-20251211-993214,CUST-10000,REST-AUH-002,Worst food ever! Chole Bhature  Samosa (2 pcs)  Sweet Lassi  Vegetable Biryani  and Kulfi were all wrong. Samosa (2 pcs) made me sick. Never ordering again!,1,2025-12-12T17:11:33.245498
REV-000055,ORD-20251209-756171,CUST-10141,REST-AUH-002,Not bad  not great. Butter Chicken  Paneer Butter Masala  and Dal Makhani were edible. Dal Makhani needed more seasoning.,3,2025-12-14T17:01:29.245498
REV-000057,ORD-20251213-232034,CUST-10093,REST-DXB-001,Wow! Just wow! Palak Paneer  Paneer Tikka  and Butter Chicken were all fantastic. Paneer Tikka was particularly memorable. Can't wait to order again!,5,2025-12-14T17:12:53.245498
REV-000058,ORD-20251214-996880,CUST-10407,REST-DXB-001,Unsatisfactory. Masala Chai were not fresh. Masala Chai tasted reheated. Won't order again.,2,2025-12-17T17:49:34.245498
REV-000059,ORD-20251214-557798,CUST-10478,REST-DXB-001,Enjoyed the Masala Chai  Sweet Lassi  Chicken Biryani  Garlic Naan  and Fresh Lime Soda! Masala Chai was very good. Portion sizes were generous. Recommend!,4,2025-12-21T20:31:05.245498
REV-000060,ORD-20251220-391778,CUST-10034,REST-AUH-001,Perfect in every way! Palak Paneer  Paneer Butter Masala  Samosa (2 pcs)  and Vegetable Biryani were all excellent. Samosa (2 pcs) stood out with its rich  authentic taste.,5,2025-12-22T20:26:52.245498
REV-000061,ORD-20251224-801433,CUST-10064,REST-DXB-001,Absolutely amazing Butter Chicken  Sweet Lassi  Fish Curry  Rasmalai (2 pcs)  and Mango Lassi! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-28T15:27:53.245498
REV-000063,ORD-20251227-360457,CUST-10478,REST-DXB-002,Great food overall. Chole Bhature  Samosa (2 pcs)  Kulfi  Naan  and Gulab Jamun (2 pcs) were tasty  especially the Naan. Would order again!,4,2025-12-31T15:28:18.245498
REV-000062,ORD-20251225-525107,CUST-10470,REST-DXB-001,Really good Butter Chicken! The Butter Chicken was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-01T21:10:32.245498
